MWE,Regex,Quantity
A bruxa está solta,A bruxa (estar|estando|estou|estás|está|estamos|estais|estão|estive|estiveste|esteve|estivemos|estivestes|estiveram|estava|estavas|estávamos|estáveis|estavam|estivera|estiveras|estivéramos|estivéreis|estiveram|estarei|estarás|estará|estaremos|estareis|estarão|estaria|estarias|estaríamos|estaríeis|estariam|esteja|estejas|estejamos|estejais|estejam|estivesse|estivesses|estivéssemos|estivésseis|estivessem|estiver|estiveres|estivermos|estiverdes|estiverem|estando|estai) solta,1
Abaixar a cabeça,(abaixar|abaixo|abaixas|abaixa|abaixamos|abaixais|abaixam|abaixava|abaixavas|abaixava|abaixávamos|abaixáveis|abaixavam|abaixei|abaixaste|abaixou|abaixamos|abaixastes|abaixaram|abaixaria|abaixarias|abaixaria|abaixaríamos|abaixaríeis|abaixariam|abaixe|abaixes|abaixe|abaixemos|abaixeis|abaixem|abaixando|abaixado|abaixa|abaixai|abaixem) a cabeça,262
Abaixar as calças,(abaixar|abaixo|abaixas|abaixa|abaixamos|abaixais|abaixam|abaixava|abaixavas|abaixava|abaixávamos|abaixáveis|abaixavam|abaixei|abaixaste|abaixou|abaixamos|abaixastes|abaixaram|abaixaria|abaixarias|abaixaria|abaixaríamos|abaixaríeis|abaixariam|abaixe|abaixes|abaixe|abaixemos|abaixeis|abaixem|abaixando|abaixado|abaixa|abaixai|abaixem) as calças,60
Abaixar a guarda,(abaixar|abaixo|abaixas|abaixa|abaixamos|abaixais|abaixam|abaixava|abaixavas|abaixava|abaixávamos|abaixáveis|abaixavam|abaixei|abaixaste|abaixou|abaixamos|abaixastes|abaixaram|abaixaria|abaixarias|abaixaria|abaixaríamos|abaixaríeis|abaixariam|abaixe|abaixes|abaixe|abaixemos|abaixeis|abaixem|abaixando|abaixado|abaixa|abaixai|abaixem) a guarda,70
Abaixar o tom,(abaixar|abaixo|abaixas|abaixa|abaixamos|abaixais|abaixam|abaixava|abaixavas|abaixava|abaixávamos|abaixáveis|abaixavam|abaixei|abaixaste|abaixou|abaixamos|abaixastes|abaixaram|abaixaria|abaixarias|abaixaria|abaixaríamos|abaixaríeis|abaixariam|abaixe|abaixes|abaixe|abaixemos|abaixeis|abaixem|abaixando|abaixado|abaixa|abaixai|abaixem) o tom,30
Abandonar a luta,(abandonar|abandono|abandonas|abandona|abandonamos|abandonais|abandonam|abandonava|abandonavas|abandonava|abandonávamos|abandonáveis|abandonavam|abandonei|abandonaste|abandonou|abandonamos|abandonastes|abandonaram|abandonaria|abandonarias|abandonaria|abandonaríamos|abandonaríeis|abandonariam|abandone|abandones|abandone|abandonemos|abandoneis|abandonem|abandonando|abandonado|abandona|abandonai|abandonem) a luta,128
Abandonar a causa,(abandonar|abandono|abandonas|abandona|abandonamos|abandonais|abandonam|abandonava|abandonavas|abandonava|abandonávamos|abandonáveis|abandonavam|abandonei|abandonaste|abandonou|abandonamos|abandonastes|abandonaram|abandonaria|abandonarias|abandonaria|abandonaríamos|abandonaríeis|abandonariam|abandone|abandones|abandone|abandonemos|abandoneis|abandonem|abandonando|abandonado|abandona|abandonai|abandonem) a causa,35
Abandonar o barco,(abandonar|abandono|abandonas|abandona|abandonamos|abandonais|abandonam|abandonava|abandonavas|abandonava|abandonávamos|abandonáveis|abandonavam|abandonei|abandonaste|abandonou|abandonamos|abandonastes|abandonaram|abandonaria|abandonarias|abandonaria|abandonaríamos|abandonaríeis|abandonariam|abandone|abandones|abandone|abandonemos|abandoneis|abandonem|abandonando|abandonado|abandona|abandonai|abandonem) o barco,117
Abotoar o paletó (de madeira),(abotoo|abotoas|abotoa|abotoamos|abotoam|abotoarei|abotoarás|abotoará|abotoaremos|abotoarão|abotoaria|abotoarias|abotoaria|abotoaríamos|abotoariam|abotoava|abotoavas|abotoava|abotoávamos|abotoavam|abotoei|abotoaste|abotoou|abotoamos|abotoaram|abotoe|abotoes|abotoe|abotoemos|abotoeis|abotoem|abotoando|abotoado|abotoada|abotoados|abotoadas|abotoador|abotoadores|abotoadora|abotoadoras|abotoado|abotoada|abotoados|abotoadas) o paletó,12
Abrir a boca,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) a boca,827
Abrir a cabeça,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) a cabeça,42
Abrir a mão,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) a mão,22
Abrir as portas,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) as portas,1989
Abrir a porteira,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) a porteira,23
Abrir fogo,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) fogo,1527
Abrir mão,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) mão,4822
Abrir o bico,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) o bico,128
